"Genéricos que componen los indicadores más relacionados a choques"
"Genéricos","SF","S","E","TC","","Genéricos","SF","S","E","TC","","Genéricos","SF","S","E","TC"
"Mercancías","","","","","","288 Otros artículos de tocador","","","ü","ü","","111 Calcetines y calcetas","","","","ü"
"Alimentos, Bebidas y Tabaco","","","","","","289 Pañales","","ü","","","","112 Calcetines y calcetas para niños","","","","ü"
"Bebidas Alcóholicas y Tabaco","","","","","","290 Papel hig. y pañuelos desechables","","ü","ü","ü","","113 Camisas y playeras","","","","ü"
"102 Brandy","","ü","","","","291 Productos para el cabello","","","ü","","","114 Camisas y playeras para niños","","","ü","ü"
"103 Otros licores","ü","","ü","ü","","292 Toallas sanitarias","ü","","ü","ü","","115 Camisetas para bebés","","","","ü"
"104 Ron","","","ü","","","Medicamentos","","","","","","116 Otras prendas de vestir para hombre","","","","ü"
"105 Tequila","","","ü","ü","","189 Analgésicos","","","","ü","","117 Otras prendas de vestir para mujer","","","ü","ü"
"106 Vino de mesa","","ü","","ü","","190 Antibióticos","","","ü","ü","","118 Pantalones para hombre","","","","ü"
"108 Cigarrillos","","ü","","","","191 Antigripales","ü","","","","","120 Pantalones para niño","","","","ü"
"Derivados de la Soya","","","","","","192 Antiinflamatorios","","","ü","ü","","122 Ropa interior para hombre","","","","ü"
"90 Mayonesa y mostaza","ü","","","","","193 Cardiovasculares","","","","ü","","124 Ropa interior para mujer","","","ü","ü"
"Derivados del Azúcar","","","","","","194 Dermatológicos","","","ü","ü","","125 Ropa para bebés","","","ü","ü"
"101 Refrescos envasados","","","ü","ü","","196 Gastrointestinales","","ü","","ü","","126 Traje para hombre","ü","","ü","ü"
"53 Otras conservas de frutas","ü","","ü","ü","","197 Medicamentos para alergias","","","","ü","","127 Uniformes escolares","","","ü","ü"
"83 Azúcar","","","ü","ü","","198 Medicamentos para diabetes","","","ü","ü","","128 Vestidos y faldas para mujer","","","ü","ü"
"85 Gelatina, miel y mermeladas","","","","ü","","199 Meds. homeopáticas y naturistas","","","ü","ü","","129 Vestidos, faldas y pant. p/ niñas","","","ü","ü"
"99 Concentrados para refrescos","","","ü","ü","","200 Nutricionales","","","ü","ü","","133 Zapatos para hombre","","","ü","ü"
"Derivados del Maíz","","","","","","201 Otros medicamentos","","","","ü","","134 Zapatos para mujer","","","ü",""
"16 Tostadas","ü","","ü","","","Muebles y Aparatos Domésticos","","","","","","135 Zapatos para niños y niñas","","","ü",""
"2 Botanas elaboradas con cereales","ü","ü","","","","146 Colchones","ü","","ü","","","136 Zapatos tenis","","","ü","ü"
"6 Maíz","ü","ü","","","","147 Comedores y antecomedores","","","","ü","","293 Relojes, joyas y bisutería","","","","ü"
"7 Masa y harinas de maíz","","","ü","","","150 Muebles para cocina","","ü","ü","","","294 Bolsas, maletas y cinturones","","","","ü"
"Derivados del Trigo","","","","","","159 Aparatos de aire acondicionado","","","ü","ü","","Servicios","","","",""
"11 Pasta para sopa","","ü","","","","160 Aspiradoras y o/ aparat. p/ hogar","ü","ü","ü","ü","","Educación","","","",""
"3 Cereales en hojuelas","","","","ü","","162 Horno de microondas","","","ü","ü","","Educación","","","",""
"5 Harinas de trigo","ü","","","","","163 Lavadoras de ropa","ü","","ü","","","262 Preescolar","","ü","ü",""
"8 Pan blanco","ü","","","","","164 Refrigeradores","","","ü","","","263 Primaria","ü","","",""
"9 Pan de caja","ü","ü","","","","165 Cafet., tostad., vent. y elect. peq.","ü","","ü","ü","","264 Secundaria","ü","ü","",""
"Embutidos","","","","","","168 Art., vidrio, vajilla y utens. p/ hogar","","","ü","ü","","266 Universidad","ü","ü","",""
"21 Jamón","ü","ü","","","","234 Equipo terminal de comunicación","ü","","","","","268 Enseñanza adicional","","","ü",""
"23 Salchichas","ü","ü","","ü","","240 Reproductores de video","","","ü","ü","","Resto de Servicios","","","",""
"24 Tocino","","","ü","ü","","243 Computadoras","","","","ü","","Resto del Resto de Servicios","","","",""
"Lácteos","","","","","","Resto de Mercancías No Alimenticias","","","","","","130 Servicio de lavandería","","","ü",""
"31 Crema y otros prod. a base de leche","","","ü","","","140 Prod. p/ repara. menor de vivienda","","","ü","ü","","131 Servicio de tintorería","","","","ü"
"34 Leche en polvo","","","ü","ü","","153 Alfombras y materiales p/ pisos","","ü","","ü","","298 Servicios funerarios","","","","ü"
"35 Leche evap., conden. y matern.","ü","","","","","154 Blancos y otros text. p/ hogar","","","ü","ü","","299 Servicios profesionales","","ü","ü","ü"
"36 Leche pasteurizada y fresca","ü","ü","ü","","","155 Colchas y cobijas","","","","ü","","Servicios de Diversión","","","",""
"38 Queso amarillo","ü","","ü","","","156 Cortinas","","","ü","ü","","253 Cine","","ü","",""
"39 Queso fresco","ü","","","","","157 Sábanas","","","","ü","","254 Otros serv. cult., div. espec. depor.","","","ü","ü"
