
"Banco de México"

"Tipos de cambio y resultados históricos de las subastas"
"Tipo de cambio promedio del periodo"

"Fecha de consulta: 28/03/2025 11:28:12"

""

"Título","Tipo de cambio Pesos por dólar E.U.A., Para solventar obligaciones denominadas en moneda extranjera, Fecha de determinación (FIX) Cotizaciones promedio"
"Periodo disponible","Ene 1991 - Feb 2025"
"Periodicidad","Mensual"
"Cifra","Tipo de Cambio"
"Unidad","Pesos por Dólar"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF17908"
01/01/2007,10.9529
01/02/2007,10.9998
01/03/2007,11.1139
01/04/2007,10.9806
01/05/2007,10.8167
01/06/2007,10.8350
01/07/2007,10.8109
01/08/2007,11.0456
01/09/2007,11.0315
01/10/2007,10.8231
01/11/2007,10.8866
01/12/2007,10.8484
01/01/2008,10.9100
01/02/2008,10.7665
01/03/2008,10.7313
01/04/2008,10.5154
01/05/2008,10.4352
01/06/2008,10.3292
01/07/2008,10.2155
01/08/2008,10.1095
01/09/2008,10.6437
01/10/2008,12.6314
01/11/2008,13.1140
01/12/2008,13.4226
01/01/2009,13.8921
01/02/2009,14.5966
01/03/2009,14.6695
01/04/2009,13.4367
01/05/2009,13.1621
01/06/2009,13.3418
01/07/2009,13.3654
01/08/2009,13.0080
01/09/2009,13.4212
01/10/2009,13.2257
01/11/2009,13.1094
01/12/2009,12.8631
01/01/2010,12.8019
01/02/2010,12.9424
01/03/2010,12.5737
01/04/2010,12.2302
01/05/2010,12.7428
01/06/2010,12.7193
01/07/2010,12.8189
01/08/2010,12.7695
01/09/2010,12.7997
01/10/2010,12.4374
01/11/2010,12.3391
01/12/2010,12.3885
01/01/2011,12.1258
01/02/2011,12.0703
01/03/2011,11.9992
01/04/2011,11.7184
01/05/2011,11.6533
01/06/2011,11.8060
01/07/2011,11.6726
01/08/2011,12.2319
01/09/2011,13.0445
01/10/2011,13.4350
01/11/2011,13.6993
01/12/2011,13.7689
01/01/2012,13.4178
01/02/2012,12.7831
01/03/2012,12.7567
01/04/2012,13.0697
01/05/2012,13.6634
01/06/2012,13.9192
01/07/2012,13.3661
01/08/2012,13.1845
01/09/2012,12.9394
01/10/2012,12.8910
01/11/2012,13.0746
01/12/2012,12.8705
01/01/2013,12.6990
01/02/2013,12.7229
01/03/2013,12.5247
01/04/2013,12.2050
01/05/2013,12.3115
01/06/2013,12.9596
01/07/2013,12.7659
01/08/2013,12.9178
01/09/2013,13.0759
01/10/2013,12.9992
01/11/2013,13.0796
01/12/2013,13.0076
01/01/2014,13.2230
01/02/2014,13.2808
01/03/2014,13.1951
01/04/2014,13.0708
01/05/2014,12.9247
01/06/2014,12.9958
01/07/2014,12.9904
01/08/2014,13.1406
01/09/2014,13.2352
01/10/2014,13.4763
01/11/2014,13.6216
01/12/2014,14.5129
01/01/2015,14.6926
01/02/2015,14.9213
01/03/2015,15.2283
01/04/2015,15.2262
01/05/2015,15.2645
01/06/2015,15.4830
01/07/2015,15.9396
01/08/2015,16.5368
01/09/2015,16.8578
01/10/2015,16.5640
01/11/2015,16.6357
01/12/2015,17.0666
01/01/2016,18.0728
01/02/2016,18.4731
01/03/2016,17.6490
01/04/2016,17.4877
01/05/2016,18.1542
01/06/2016,18.6530
01/07/2016,18.6014
01/08/2016,18.4749
01/09/2016,19.1924
01/10/2016,18.8924
01/11/2016,20.1185
01/12/2016,20.5206
01/01/2017,21.3853
01/02/2017,20.2905
01/03/2017,19.3010
01/04/2017,18.7875
01/05/2017,18.7557
01/06/2017,18.1326
01/07/2017,17.8283
01/08/2017,17.8070
01/09/2017,17.8357
01/10/2017,18.8161
01/11/2017,18.9158
01/12/2017,19.1812
01/01/2018,18.9074
01/02/2018,18.6449
01/03/2018,18.6308
01/04/2018,18.3872
01/05/2018,19.5910
01/06/2018,20.3032
