
"Banco de México"

"Encuestas"
"Expectativas de Inflación Mensual"

"Fecha de consulta: 28/03/2025 12:23:06"

""

"Título","Encuestas Sobre las Expectativas de los Especialistas en Economía del Sector Privado, Expectativas de Inflación Mensual, Cifras en por ciento, Inflación subyacente, Para el mes en curso (mes t), Mediana"
"Periodo disponible","Ene 1999 - Feb 2025"
"Periodicidad","Mensual"
"Cifra","Porcentajes"
"Unidad","Porcentajes"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SR14314"
01/01/2007,0.48
01/02/2007,0.40
01/03/2007,0.31
01/04/2007,0.19
01/05/2007,0.23
01/06/2007,0.26
01/07/2007,0.33
01/08/2007,0.20
01/09/2007,0.24
01/10/2007,0.33
01/11/2007,0.35
01/12/2007,0.37
01/01/2008,0.41
01/02/2008,0.41
01/03/2008,0.53
01/04/2008,0.34
01/05/2008,0.45
01/06/2008,0.43
01/07/2008,0.40
01/08/2008,0.38
01/09/2008,0.61
01/10/2008,0.29
01/11/2008,0.49
01/12/2008,0.41
01/01/2009,0.42
01/02/2009,0.45
01/03/2009,0.48
01/04/2009,0.40
01/05/2009,0.26
01/06/2009,0.28
01/07/2009,0.32
01/08/2009,0.26
01/09/2009,0.42
01/10/2009,0.32
01/11/2009,0.26
01/12/2009,0.42
01/01/2010,0.62
01/02/2010,0.49
01/03/2010,0.36
01/04/2010,0.14
01/05/2010,0.27
01/06/2010,0.14
01/07/2010,0.26
01/08/2010,0.16
01/09/2010,0.42
01/10/2010,0.26
01/11/2010,0.29
01/12/2010,0.45
01/01/2011,0.42
01/02/2011,0.36
01/03/2011,0.39
01/04/2011,0.12
01/05/2011,0.14
01/06/2011,0.20
01/07/2011,0.24
01/08/2011,0.16
01/09/2011,0.29
01/10/2011,0.29
01/11/2011,0.31
01/12/2011,0.42
01/01/2012,0.40
01/02/2012,0.41
01/03/2012,0.26
01/04/2012,0.15
01/05/2012,0.24
01/06/2012,0.22
01/07/2012,0.28
01/08/2012,0.24
01/09/2012,0.29
01/10/2012,0.24
01/11/2012,0.24
01/12/2012,0.39
01/01/2013,0.38
01/02/2013,0.45
01/03/2013,0.29
01/04/2013,0.12
01/05/2013,0.21
01/06/2013,0.17
01/07/2013,0.10
01/08/2013,0.11
01/09/2013,0.34
01/10/2013,0.19
01/11/2013,0.15
01/12/2013,0.25
01/01/2014,0.88
01/02/2014,0.29
01/03/2014,0.20
01/04/2014,0.35
01/05/2014,0.07
01/06/2014,0.23
01/07/2014,0.19
01/08/2014,0.19
01/09/2014,0.31
01/10/2014,0.18
01/11/2014,0.17
01/12/2014,0.32
01/01/2015,0.04
01/02/2015,0.36
01/03/2015,0.25
01/04/2015,0.14
01/05/2015,0.13
01/06/2015,0.20
01/07/2015,0.17
01/08/2015,0.20
01/09/2015,0.35
01/10/2015,0.25
01/11/2015,0.08
01/12/2015,0.31
01/01/2016,0.22
01/02/2016,0.35
01/03/2016,0.41
01/04/2016,0.19
01/05/2016,0.21
01/06/2016,0.27
01/07/2016,0.19
01/08/2016,0.20
01/09/2016,0.44
01/10/2016,0.29
01/11/2016,0.29
01/12/2016,0.35
01/01/2017,0.50
01/02/2017,0.70
01/03/2017,0.48
01/04/2017,0.43
01/05/2017,0.26
01/06/2017,0.30
01/07/2017,0.26
01/08/2017,0.27
01/09/2017,0.35
01/10/2017,0.25
01/11/2017,0.31
01/12/2017,0.35
01/01/2018,0.29
01/02/2018,0.48
01/03/2018,0.36
01/04/2018,0.16
01/05/2018,0.23
01/06/2018,0.21
01/07/2018,0.29
01/08/2018,0.24
01/09/2018,0.28
01/10/2018,0.31
01/11/2018,0.25
01/12/2018,0.38
01/01/2019,0.23
01/02/2019,0.41
01/03/2019,0.33
01/04/2019,0.45
01/05/2019,0.16
01/06/2019,0.29
01/07/2019,0.25
01/08/2019,0.19
01/09/2019,0.29
01/10/2019,0.24
01/11/2019,0.22
01/12/2019,0.39
01/01/2020,0.34
01/02/2020,0.37
01/03/2020,0.29
01/04/2020,0.31
01/05/2020,0.38
01/06/2020,0.31
01/07/2020,0.38
01/08/2020,0.26
01/09/2020,0.30
01/10/2020,0.25
01/11/2020,0.00
01/12/2020,0.43
01/01/2021,0.35
01/02/2021,0.36
01/03/2021,0.49
01/04/2021,0.33
01/05/2021,0.45
01/06/2021,0.51
01/07/2021,0.45
01/08/2021,0.40
01/09/2021,0.44
01/10/2021,0.46
01/11/2021,0.30
01/12/2021,0.51
01/01/2022,0.55
01/02/2022,0.68
01/03/2022,0.63
01/04/2022,0.72
01/05/2022,0.54
01/06/2022,0.77
01/07/2022,0.56
01/08/2022,0.72
01/09/2022,0.70
01/10/2022,0.62
01/11/2022,0.52
01/12/2022,0.58
01/01/2023,0.66
01/02/2023,0.65
01/03/2023,0.50
01/04/2023,0.40
01/05/2023,0.34
01/06/2023,0.30
01/07/2023,0.40
01/08/2023,0.31
01/09/2023,0.37
01/10/2023,0.36
01/11/2023,0.29
01/12/2023,0.45
01/01/2024,0.36
01/02/2024,0.48
01/03/2024,0.48
01/04/2024,0.23
01/05/2024,0.25
01/06/2024,0.24
01/07/2024,0.29
01/08/2024,0.24
01/09/2024,0.31
01/10/2024,0.32
01/11/2024,0.11
01/12/2024,0.41
01/01/2025,0.43
01/02/2025,0.44

