[Tiempo][NACIONAL]Salario diario o salario base de cotización,,,,,,,
,,,,,,,
"Salario diario o salario base de cotización
como valores",,CENTRO,NORTE,OCCIDENTE,SUR,NACIONAL,
2025,2025/Feb,686.36,630.32,579.98,554.16,619.64,
,2025/Jan,683.38,627.88,578.17,553.99,617.58,
,2025,683.38,627.88,578.17,553.99,617.58,
2024,2024/Dec,649.51,603.18,549.07,519.11,587.39,
,2024/Nov,645.19,598.86,546.28,518.18,584.11,
,2024/Oct,642.47,594.67,542.57,514.27,580.50,
,2024/Sep,643.44,595.63,543.64,515.61,581.57,
,2024/Aug,647.29,603.24,550.98,519.53,587.46,
,2024/Jul,648.48,604.74,551.88,521.38,588.71,
,2024/Jun,650.49,598.09,547.40,513.47,584.93,
,2024/May,650.57,598.79,547.75,514.35,585.33,
,2024/Apr,643.94,589.66,540.31,509.64,578.00,
,2024/Mar,643.17,588.02,539.44,510.93,577.21,
,2024/Feb,642.33,582.80,537.68,517.93,576.20,
,2024/Jan,638.03,579.51,535.93,516.59,573.40,
,2024,638.03,579.51,535.93,516.59,573.40,
2023,2023/Dec,599.63,549.39,501.47,474.90,537.87,
,2023/Nov,596.01,545.48,498.86,473.87,534.87,
,2023/Oct,594.31,541.77,495.34,468.24,531.55,
,2023/Sep,594.94,542.16,495.72,469.94,532.23,
,2023/Aug,597.26,546.38,497.99,475.14,535.48,
,2023/Jul,597.92,548.16,499.30,476.68,536.76,
,2023/Jun,599.63,544.32,496.44,468.41,534.05,
,2023/May,600.16,544.37,497.21,469.86,534.69,
,2023/Apr,593.50,536.17,489.79,462.62,527.20,
,2023/Mar,591.52,533.54,488.21,461.88,525.32,
,2023/Feb,589.75,526.31,486.21,467.13,523.21,
,2023/Jan,583.40,521.83,483.30,465.61,519.17,
,2023,583.40,521.83,483.30,465.61,519.17,
2022,2022/Dec,546.90,494.00,452.04,429.02,486.65,
,2022/Nov,543.22,490.33,448.87,428.53,483.61,
,2022/Oct,541.17,486.14,445.08,422.70,479.92,
,2022/Sep,541.98,486.45,446.01,423.55,480.65,
,2022/Aug,545.26,491.73,449.21,426.20,484.34,
,2022/Jul,545.50,493.21,450.28,427.67,485.38,
,2022/Jun,544.52,485.88,443.71,420.38,480.05,
,2022/May,545.20,486.15,443.78,421.13,480.45,
,2022/Apr,538.62,480.16,436.79,415.11,473.94,
,2022/Mar,536.98,478.13,435.28,415.06,472.49,
,2022/Feb,536.07,471.17,432.40,420.54,470.43,
,2022/Jan,530.51,467.42,429.56,418.66,466.75,
,2022,530.51,467.42,429.56,418.66,466.75,
2021,2021/Dec,499.53,442.36,402.88,386.46,438.56,
,2021/Nov,496.22,438.69,400.18,385.62,435.70,
,2021/Oct,492.85,435.32,395.72,381.98,431.96,
,2021/Sep,493.29,435.20,396.23,381.02,432.04,
,2021/Aug,489.74,440.41,400.35,385.02,434.23,
,2021/Jul,489.79,442.50,401.06,387.66,435.40,
,2021/Jun,491.44,438.24,395.21,379.89,431.97,
,2021/May,492.05,439.35,395.86,382.52,433.13,
,2021/Apr,484.84,433.43,392.61,377.36,427.66,
,2021/Mar,484.22,433.17,392.47,377.86,427.45,
,2021/Feb,488.01,432.65,391.65,387.23,429.72,
,2021/Jan,485.65,431.55,391.35,387.40,428.77,
,2021,485.65,431.55,391.35,387.40,428.77,
2020,2020/Dec,459.84,414.63,373.24,363.88,408.01,
,2020/Nov,456.14,411.88,371.33,362.95,405.60,
,2020/Oct,453.71,407.58,367.38,357.74,401.84,
,2020/Sep,455.51,408.27,368.53,357.23,402.82,
,2020/Aug,455.52,408.30,370.85,360.85,404.13,
,2020/Jul,456.44,410.51,371.71,360.56,405.20,
,2020/Jun,464.16,413.12,369.73,358.55,407.28,
,2020/May,465.34,414.54,369.84,358.96,408.02,
,2020/Apr,459.04,410.04,367.48,355.14,403.62,
,2020/Mar,452.90,405.57,365.00,351.12,399.28,
,2020/Feb,451.56,402.61,361.76,354.51,397.62,
,2020/Jan,449.59,399.99,361.41,353.55,396.18,
,2020,449.59,399.99,361.41,353.55,396.18,
2019,2019/Dec,426.93,385.93,345.73,332.50,378.13,
,2019/Nov,423.42,382.96,343.92,331.94,375.78,
,2019/Oct,421.68,381.56,340.58,327.21,373.22,
,2019/Sep,422.87,382.67,341.89,328.28,374.46,
,2019/Aug,426.65,388.04,347.92,334.32,379.67,
,2019/Jul,427.58,389.56,348.55,335.65,380.72,
,2019/Jun,427.15,384.64,343.89,327.03,376.63,
,2019/May,428.32,385.51,344.34,328.37,377.49,
,2019/Apr,424.42,381.17,340.65,326.28,373.70,
,2019/Mar,423.81,379.87,339.74,325.84,372.83,
,2019/Feb,425.91,376.71,339.07,332.90,373.60,
,2019/Jan,424.09,374.93,338.08,332.41,372.27,
,2019,424.09,374.93,338.08,332.41,372.27,
2018,2018/Dec,404.55,358.80,320.19,313.71,354.35,
,2018/Nov,402.12,356.53,319.17,313.17,352.70,
,2018/Oct,401.40,353.70,317.29,309.07,350.62,
,2018/Sep,402.51,354.60,318.72,310.25,351.80,
,2018/Aug,406.06,357.91,323.45,316.92,356.15,
,2018/Jul,407.14,359.47,324.64,318.21,357.43,
,2018/Jun,406.58,355.77,319.36,309.86,353.45,
,2018/May,407.41,356.13,319.58,310.07,353.83,
,2018/Apr,402.29,349.47,317.01,307.19,349.37,
,2018/Mar,402.87,349.08,316.39,307.96,349.31,
,2018/Feb,403.25,346.24,314.92,314.61,349.38,
,2018/Jan,400.76,345.35,314.19,314.16,348.11,
,2018,400.76,345.35,314.19,314.16,348.11,
2017,2017/Dec,384.98,336.36,304.74,300.41,336.26,
,2017/Nov,381.07,332.62,302.17,297.86,333.01,
,2017/Oct,380.25,330.82,300.24,294.64,331.29,
,2017/Sep,381.56,331.31,301.50,295.80,332.39,
,2017/Aug,383.96,335.30,304.69,302.90,336.24,
,2017/Jul,384.95,336.46,305.75,304.23,337.37,
,2017/Jun,385.57,332.30,301.54,297.53,334.21,
,2017/May,387.25,333.69,302.77,298.81,335.59,
,2017/Apr,380.63,327.66,298.60,294.45,330.10,
,2017/Mar,380.42,326.97,297.96,294.69,329.73,
,2017/Feb,382.62,325.72,298.27,302.46,331.43,
,2017/Jan,382.18,325.16,298.05,302.57,331.14,
,2017,382.18,325.16,298.05,302.57,331.14,
2016,2016/Dec,366.90,315.97,287.38,286.52,318.65,
,2016/Nov,364.89,314.14,286.69,286.38,317.39,
,2016/Oct,364.93,311.08,283.80,282.63,315.27,
,2016/Sep,366.56,311.86,285.29,283.75,316.57,
,2016/Aug,370.42,315.09,288.81,291.86,320.85,
,2016/Jul,371.36,316.39,288.66,293.75,321.77,
,2016/Jun,372.02,312.58,284.97,287.03,318.80,
,2016/May,373.31,313.66,285.16,287.65,319.59,
,2016/Apr,367.32,307.76,281.86,284.50,314.76,
,2016/Mar,368.23,308.11,282.41,286.35,315.55,
,2016/Feb,370.89,307.52,282.19,295.59,317.69,
,2016/Jan,371.79,307.99,282.28,296.45,318.23,
,2016,371.79,307.99,282.28,296.45,318.23,
2015,2015/Dec,355.69,300.36,273.44,282.30,306.69,
,2015/Nov,353.27,298.87,274.07,283.11,305.95,
,2015/Oct,353.19,296.28,272.20,280.13,304.26,
,2015/Sep,354.83,296.92,273.04,280.86,305.28,
,2015/Aug,357.49,301.29,277.90,288.65,309.86,
,2015/Jul,358.17,302.43,277.31,289.84,310.41,
,2015/Jun,357.41,298.19,272.83,280.68,306.29,
,2015/May,359.46,299.32,273.26,282.06,307.47,
,2015/Apr,356.02,294.80,270.84,278.94,304.03,
,2015/Mar,355.90,294.59,270.65,278.29,303.78,
,2015/Feb,357.24,294.77,271.16,288.90,306.14,
,2015/Jan,358.17,294.99,271.31,289.57,306.63,
,2015,358.17,294.99,271.31,289.57,306.63,
2014,2014/Dec,342.31,286.55,262.98,273.12,294.70,
,2014/Nov,340.57,285.17,263.28,273.56,294.03,
,2014/Oct,339.97,282.67,260.71,270.10,291.94,
,2014/Sep,341.55,283.69,262.59,271.41,293.42,
,2014/Aug,344.55,286.98,264.97,277.27,296.84,
,2014/Jul,345.32,288.40,265.18,278.47,297.72,
,2014/Jun,343.65,284.79,262.26,270.62,294.16,
,2014/May,344.19,285.37,262.45,271.53,294.63,
,2014/Apr,342.09,282.32,261.04,269.10,292.35,
,2014/Mar,341.55,281.98,260.00,268.27,291.64,
,2014/Feb,344.70,282.20,261.12,273.47,293.87,
,2014/Jan,344.81,282.17,261.50,272.82,293.90,
,2014,344.81,282.17,261.50,272.82,293.90,
2013,2013/Dec,327.66,273.50,252.50,258.46,281.66,
,2013/Nov,325.48,272.13,251.65,258.40,280.46,
,2013/Oct,326.56,270.64,250.59,254.83,279.52,
,2013/Sep,327.45,271.33,252.68,255.24,280.66,
,2013/Aug,330.69,273.98,254.35,260.39,283.67,
,2013/Jul,331.26,274.57,254.18,260.87,284.02,
,2013/Jun,330.01,272.40,252.32,255.51,281.63,
,2013/May,331.10,272.86,252.31,255.69,282.08,
,2013/Apr,329.46,269.73,250.67,253.66,279.90,
,2013/Mar,329.70,269.91,250.13,254.40,279.96,
,2013/Feb,332.43,269.97,251.20,260.85,282.18,
,2013/Jan,332.89,270.21,251.88,260.70,282.55,
,2013,332.89,270.21,251.88,260.70,282.55,
